moonshotai/Kimi-K2-Instruct | text-generation | public
vikhyatk/moondream2 | image-text-to-text | public
tencent/HunyuanVideo-Avatar | image-to-video | public
Qwen/Qwen3-Embedding-8B | feature-extraction | public
allenai/FlexOlmo-7x7B-1T | text-generation | public
AIDC-AI/Ovis-U1-3B | any-to-any | public
internlm/POLAR-7B | text-ranking | public
merve/smol-vision | - | public
LiquidAI/LFM2-700M-GGUF | text-generation | public
stabilityai/stable-diffusion-xl-base-1.0 | text-to-image | public
openai/whisper-large-v3-turbo | automatic-speech-recognition | public
deepseek-ai/DeepSeek-V3 | text-generation | public
Wan-AI/Wan2.1-T2V-14B | text-to-video | public
mistralai/Magistral-Small-2506 | text-generation | public
bullerwins/FLUX.1-Kontext-dev-GGUF | image-to-image | public
zeroentropy/zerank-1 | text-ranking | public
fal/Realism-Detailer-Kontext-Dev-LoRA | image-to-image | public
LiquidAI/LFM2-350M-GGUF | text-generation | public
naver/provence-reranker-debertav3-v1 | text-ranking | public
sesame/csm-1b | text-to-speech | public
Qwen/Qwen3-8B | text-generation | public
google/gemma-3n-E2B-it-litert-preview | image-text-to-text | public
skt/A.X-4.0-Light | text-generation | public
unsloth/Kimi-K2-Instruct | text-generation | public
KVCache-ai/Kimi-K2-Instruct-GGUF | - | public
mlx-community/Kimi-Dev-72B-4bit-DWQ | text-generation | public
openai-community/gpt2 | text-generation | public
meta-llama/Llama-3.3-70B-Instruct | text-generation | public
google/gemma-3-4b-it | image-text-to-text | public
google/gemma-3-27b-it | image-text-to-text | public
ResembleAI/chatterbox | text-to-speech | public
google/gemma-3n-E2B-it | image-text-to-text | public
BytedTsinghua-SIA/RL-MemoryAgent-14B | - | public
ByteDance-Seed/Tar-1.5B | any-to-any | public
TheDrummer/Big-Tiger-Gemma-27B-v3 | - | public
LGAI-EXAONE/EXAONE-Path-2.0 | - | public
meta-llama/Llama-2-7b-chat-hf | text-generation | public
comfyanonymous/flux_text_encoders | - | public
black-forest-labs/FLUX.1-Fill-dev | - | public
google/gemma-3-1b-it | text-generation | public
deepseek-ai/DeepSeek-V3-0324 | text-generation | public
meta-llama/Llama-4-Scout-17B-16E-Instruct | image-text-to-text | public
ibm-granite/granite-speech-3.3-8b | automatic-speech-recognition | public
nvidia/parakeet-tdt-0.6b-v2 | automatic-speech-recognition | public
Qwen/Qwen3-1.7B | text-generation | public
fishaudio/openaudio-s1-mini | text-to-speech | public
google/t5gemma-b-b-prefixlm-it | text-generation | public
Alibaba-NLP/WebSailor | - | public
ai21labs/AI21-Jamba-Large-1.7 | - | public
K-intelligence/Midm-2.0-Mini-Instruct | text-generation | public
unsloth/SmolLM3-3B-128K-GGUF | - | public
google/videoprism-large-f8r288 | video-classification | public
mistralai/Mistral-7B-Instruct-v0.2 | text-generation | public
meta-llama/Llama-3.2-1B | text-generation | public
meta-llama/Llama-3.2-3B-Instruct | text-generation | public
marcelbinz/Llama-3.1-Centaur-70B-adapter | - | public
tencent/HunyuanVideo | text-to-video | public
tabularisai/multilingual-sentiment-analysis | text-classification | public
ds4sd/SmolDocling-256M-preview | image-text-to-text | public
litert-community/Gemma3-1B-IT | text-generation | public
Qwen/Qwen3-4B | text-generation | public
MeiGen-AI/MeiGen-MultiTalk | image-to-video | public
HelpingAI/Dhanishtha-2.0-preview | text-generation | public
nvidia/OpenCodeReasoning-Nemotron-1.1-14B | text-generation | public
TheDrummer/Tiger-Gemma-12B-v3 | - | public
GD-ML/FLUX-Text | - | public
HuggingFaceTB/SmolLM3-3B-ONNX | text-generation | public
hynt/F5-TTS-Vietnamese-ViVoice | text-to-speech | public
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 | sentence-similarity | public
Falconsai/nsfw_image_detection | image-classification | public
pyannote/speaker-diarization-3.1 | automatic-speech-recognition | public
mistralai/Mixtral-8x7B-Instruct-v0.1 | text-generation | public
microsoft/Phi-3-mini-4k-instruct | text-generation | public
meta-llama/Llama-3.1-8B | text-generation | public
google/gemma-3-12b-it | image-text-to-text | public
IndexTeam/Index-anisora | - | public
mistralai/Devstral-Small-2505 | text-generation | public
kyutai/stt-2.6b-en | automatic-speech-recognition | public
Intelligent-Internet/II-Medical-8B-1706 | text-generation | public
neta-art/Neta-Lumina | - | public
Alibaba-NLP/WebDancer-32B | text-generation | public
Kwai-Keye/Keye-VL-8B-Preview | video-text-to-text | public
Calligrapher2025/Calligrapher | text-to-image | public
nari-labs/Dia-1.6B-0626 | text-to-speech | public
Lightricks/LTX-Video-ICLoRA-pose-13b-0.9.7 | text-to-video | public
starsfriday/Kontext-Remover-General-LoRA | image-to-image | public
codys12/Qwen3-8B-BitNet | text-generation | public
fnlp/MOSS-TTSD-v0.5 | text-to-speech | public
unsloth/SmolLM3-3B-GGUF | - | public
multimodalart/reachy | text-to-image | public
BAAI/bge-reranker-v2-m3 | text-classification | public
city96/FLUX.1-dev-gguf | text-to-image | public
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | text-generation | public
moonshotai/Kimi-VL-A3B-Instruct | image-text-to-text | public
nari-labs/Dia-1.6B | text-to-speech | public
Qwen/Qwen3-30B-A3B | text-generation | public
Qwen/Qwen3-32B | text-generation | public
Qwen/Qwen3-235B-A22B | text-generation | public
microsoft/NextCoder-14B | text-generation | public
QuantStack/Wan2.1_14B_VACE-GGUF | text-to-video | public
nvidia/GR00T-N1.5-3B | robotics | public
unsloth/gemma-3n-E4B-it-GGUF | image-text-to-text | public
MetaStoneTec/MetaStone-S1-32B | - | public
google/vit-base-patch16-224 | image-classification | public
google/flan-t5-small | text-generation | public
mistralai/Mistral-7B-Instruct-v0.1 | text-generation | public
TinyLlama/TinyLlama-1.1B-Chat-v1.0 | text-generation | public
xai-org/grok-1 | text-generation | public
stable-diffusion-v1-5/stable-diffusion-v1-5 | text-to-image | public
Qwen/Qwen2.5-Omni-7B | any-to-any | public
microsoft/bitnet-b1.58-2B-4T | text-generation | public
ByteDance/Dolphin | image-text-to-text | public
Qwen/Qwen3-Reranker-0.6B | text-ranking | public
nvidia/OpenCodeReasoning-Nemotron-1.1-7B | text-generation | public
google/magenta-realtime | - | public
Trendyol/Trendyol-Cybersecurity-LLM-Qwen3-32B-Q8_0-GGUF | - | public
LGAI-EXAONE/EXAONE-Path-MSI | - | public
QuixiAI/Devstral-Vision-Small-2507-gguf | - | public
facebook/bart-large-mnli | zero-shot-classification | public
ggerganov/whisper.cpp | automatic-speech-recognition | public
stabilityai/stable-video-diffusion-img2vid-xt | image-to-video | public
xinsir/controlnet-union-sdxl-1.0 | text-to-image | public
Aitrepreneur/FLX | - | public
city96/t5-v1_1-xxl-encoder-gguf | - | public
meta-llama/Llama-3.2-1B-Instruct | text-generation | public
briaai/RMBG-2.0 | image-segmentation | public
DavidAU/Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B-GGUF | text-generation | public
microsoft/phi-4 | text-generation | public
deepseek-ai/Janus-Pro-7B | any-to-any | public
agents-course/notebooks | - | public
ETH-CVG/lightglue_superpoint | keypoint-detection | public
city96/umt5-xxl-encoder-gguf | - | public
canopylabs/orpheus-3b-0.1-ft | text-to-speech | public
meta-llama/Llama-4-Maverick-17B-128E-Instruct | image-text-to-text | public
Wan-AI/Wan2.1-VACE-14B | image-to-video | public
google/gemma-3n-E4B | image-text-to-text | public
tencent/SongGeneration | text-to-audio | public
lingshu-medical-mllm/Lingshu-32B | image-text-to-text | public
BAAI/RoboBrain2.0-32B | robotics | public
Qwen/Qwen3-Embedding-0.6B-GGUF | - | public
QuantStack/Wan2.1_I2V_14B_FusionX-GGUF | image-to-video | public
baidu/ERNIE-4.5-21B-A3B-PT | text-generation | public
moelanoby/phi-3-M3-coder | text-generation | public
Lightricks/LTX-Video-ICLoRA-depth-13b-0.9.7 | text-to-video | public
reverentelusarca/kontext-turnaround-sheet-lora-v1 | - | public
nvidia/audio-flamingo-3 | - | public
nvidia/audio-flamingo-3-chat | - | public
microsoft/MediPhi-Instruct | text-generation | public
zer0int/CLIP-KO-LITE-TypoAttack-Attn-Dropout-ViT-L-14 | - | public
openai/clip-vit-large-patch14 | zero-shot-image-classification | public
facebook/nllb-200-distilled-600M | translation | public
CompVis/stable-diffusion-v1-4 | text-to-image | public
mistralai/Mistral-7B-v0.1 | text-generation | public
google/gemma-2b | text-generation | public
meta-llama/Meta-Llama-3-8B | text-generation | public
stabilityai/stable-diffusion-3-medium | text-to-image | public
microsoft/Florence-2-large | image-text-to-text | public
google/gemma-2-2b-it | text-generation | public
Alibaba-NLP/gte-multilingual-base | sentence-similarity | public
microsoft/Phi-3.5-mini-instruct | text-generation | public
Qwen/Qwen2.5-7B-Instruct | text-generation | public
Qwen/Qwen2.5-1.5B-Instruct | text-generation | public
meta-llama/Llama-3.2-11B-Vision-Instruct | image-text-to-text | public
Steelskull/L3.3-MS-Nevoria-70b | text-generation | public
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | text-generation | public
Qwen/Qwen2.5-VL-3B-Instruct | image-text-to-text | public
Qwen/Qwen2.5-VL-72B-Instruct | image-text-to-text | public
reducto/RolmOCR | image-to-text | public
moonshotai/Kimi-Audio-7B-Instruct | text-to-speech | public
fdtn-ai/Foundation-Sec-8B | text-generation | public
tngtech/DeepSeek-R1T-Chimera | text-generation | public
Qwen/Qwen3-14B | text-generation | public
Misha24-10/F5-TTS_RUSSIAN | text-to-speech | public
Hcompany/Holo1-7B | image-text-to-text | public
briaai/BRIA-3.2 | text-to-image | public
osmosis-ai/Osmosis-Structure-0.6B | - | public
mit-han-lab/nunchaku-flux.1-dev | - | public
lingshu-medical-mllm/Lingshu-7B | image-text-to-text | public
QuantStack/Wan2.1_T2V_14B_FusionX_VACE-GGUF | image-to-video | public
QuantStack/Phantom_Wan_14B_FusionX-GGUF | image-to-video | public
google/t5gemma-2b-2b-ul2 | text-generation | public
aharley/alltracker | - | public
unsloth/Mistral-Small-3.2-24B-Instruct-2506-GGUF | image-text-to-text | public
knowledgator/gliner-x-large | token-classification | public
maya-research/Veena | text-to-speech | public
baidu/ERNIE-4.5-VL-28B-A3B-PT | image-text-to-text | public
unsloth/FLUX.1-Kontext-dev-GGUF | image-to-image | public
Lightricks/LTX-Video-ICLoRA-canny-13b-0.9.7 | text-to-video | public
ByteDance-Seed/VINCIE-3B | image-to-image | public
LGAI-EXAONE/EXAONE-Path-EGFR | - | public
unsloth/medgemma-27b-it-GGUF | image-text-to-text | public
TheDrummer/Snowpiercer-15B-v2 | - | public
bartowski/mistralai_Devstral-Small-2507-GGUF | image-text-to-text | public
mlx-community/Devstral-Small-2507-4bit-DWQ | text-generation | public
distilbert/distilbert-base-uncased | fill-mask | public
openai/clip-vit-base-patch32 | zero-shot-image-classification | public
pyannote/speaker-diarization | automatic-speech-recognition | public
google/flan-t5-base | text-generation | public
WarriorMama777/OrangeMixs | text-to-image | public
2vXpSwA7/iroiro-lora | - | public
lllyasviel/ControlNet-v1-1 | - | public
intfloat/multilingual-e5-large | feature-extraction | public
meta-llama/Llama-2-7b | text-generation | public
deepseek-ai/deepseek-coder-6.7b-instruct | text-generation | public
nomic-ai/nomic-embed-text-v1.5 | sentence-similarity | public
ByteDance/Hyper-SD | text-to-image | public
stabilityai/stable-audio-open-1.0 | text-to-audio | public
2Noise/ChatTTS | text-to-audio | public
fofr/sdxl-emoji | text-to-image | public
Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2 | text-generation | public
Qwen/Qwen2.5-Coder-7B-Instruct | text-generation | public
Qwen/Qwen2.5-3B-Instruct | text-generation | public
jasperai/Flux.1-dev-Controlnet-Upscaler | image-to-image | public
stabilityai/stable-diffusion-3.5-large-turbo | text-to-image | public
answerdotai/ModernBERT-base | fill-mask | public
deepseek-ai/DeepSeek-V3-Base | - | public
openbmb/MiniCPM-o-2_6 | any-to-any | public
tencent/Hunyuan3D-2 | image-to-3d | public
deepseek-ai/DeepSeek-R1-Distill-Llama-8B | text-generation | public
lodestones/Chroma | text-to-image | public
onnx-community/Kokoro-82M-v1.0-ONNX | text-to-speech | public
microsoft/Phi-4-mini-instruct | text-generation | public
silveroxides/Chroma-GGUF | text-to-image | public
Dream-org/Dream-v0-Instruct-7B | feature-extraction | public
HiDream-ai/HiDream-I1-Full | text-to-image | public
ibm-granite/granite-3.3-8b-instruct | text-generation | public
Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro-2.0 | text-to-image | public
ByteDance-Seed/UI-TARS-1.5-7B | image-text-to-text | public
microsoft/Phi-4-mini-reasoning | text-generation | public
thuml/sundial-base-128m | time-series-forecasting | public
rednote-hilab/dots.llm1.inst | text-generation | public
numind/NuExtract-2.0-2B | image-text-to-text | public
Qwen/Qwen3-Embedding-4B | feature-extraction | public
MediaTek-Research/Breeze-ASR-25 | automatic-speech-recognition | public
sarvamai/sarvam-translate | translation | public
Nitral-AI/Irixxed-Magcap-12B-Slerp | text-generation | public
lightx2v/Wan2.1-T2V-14B-StepDistill-CfgDistill | text-to-video | public
OmniAvatar/OmniAvatar-14B | - | public
THU-KEG/LongWriter-Zero-32B | text-generation | public
black-forest-labs/FLUX.1-Kontext-dev-onnx | - | public
nvidia/llama-nemoretriever-colembed-3b-v1 | visual-document-retrieval | public
QuantStack/FLUX.1-Kontext-dev-GGUF | image-to-image | public
calcuis/omnigen2-gguf | any-to-any | public
6chan/flux1-kontext-dev-fp8 | image-to-image | public
baidu/ERNIE-4.5-0.3B-PT | text-generation | public
PhilipC/HumanOmniV2 | video-text-to-text | public
apple/DiffuCoder-7B-Instruct | - | public
Rainnighttram/GLM-4.1V-9B-Thinking-bnb-4bit | image-to-text | public
Delta-Vector/Plesio-70B | text-generation | public
xiaolxl/HXHY-Asian-style-realism-Realistic-KontextLoRA | image-to-image | public
huihui-ai/Huihui-GLM-4.1V-9B-Thinking-abliterated | image-text-to-text | public
zerofata/L3.3-GeneticLemonade-Opus-70B | text-generation | public
mlx-community/SmolLM3-3B-8bit | text-generation | public
unsloth/LFM2-1.2B-GGUF | text-generation | public
google-bert/bert-base-uncased | fill-mask | public
pyannote/segmentation | voice-activity-detection | public
speechbrain/spkrec-ecapa-voxceleb | - | public
Salesforce/blip-image-captioning-base | image-to-text | public
meta-llama/Llama-2-7b-hf | text-generation | public
BAAI/bge-large-en-v1.5 | feature-extraction | public
BAAI/bge-large-zh-v1.5 | feature-extraction | public
pyannote/segmentation-3.0 | voice-activity-detection | public
TheBloke/OpenHermes-2.5-Mistral-7B-GGUF | - | public
distil-whisper/distil-small.en | automatic-speech-recognition | public
microsoft/phi-2 | text-generation | public
amazon/chronos-t5-small | time-series-forecasting | public
Orenguteng/Llama-3-8B-Lexi-Uncensored | text-generation | public
bartowski/Lexi-Llama-3-8B-Uncensored-GGUF | text-generation | public
tianweiy/DMD2 | text-to-image | public
Qwen/Qwen2-7B-Instruct | text-generation | public
XLabs-AI/flux-RealismLora | text-to-image | public
nvidia/NV-Embed-v2 | feature-extraction | public
bartowski/Llama-3.2-3B-Instruct-GGUF | text-generation | public
apple/DepthPro | depth-estimation | public
SWivid/F5-TTS | text-to-speech | public
fishaudio/fish-speech-1.5 | text-to-speech | public
easygoing0114/flan-t5-xxl-fused | - | public
cagliostrolab/animagine-xl-4.0 | text-to-image | public
DavidAU/Llama-3.2-8X4B-MOE-V2-Dark-Champion-Instruct-uncensored-abliterated-21B-GGUF | text-generation | public
perplexity-ai/r1-1776 | text-generation | public
neta-art/lu2 | - | public
microsoft/Phi-4-multimodal-instruct | automatic-speech-recognition | public
city96/Wan2.1-T2V-14B-gguf | text-to-video | public
SparkAudio/Spark-TTS-0.5B | text-to-speech | public
Qwen/QwQ-32B | text-generation | public
google/gemma-3-12b-it-qat-q4_0-gguf | image-text-to-text | public
allenai/OLMo-2-0325-32B-Instruct | text-generation | public
google/gemma-3-4b-it-qat-q4_0-gguf | image-text-to-text | public
mlabonne/gemma-3-27b-it-abliterated-GGUF | image-text-to-text | public
jinaai/jina-reranker-m0 | text-classification | public
facebook/OMol25 | - | public
facebook/UMA | - | public
moonshotai/Kimi-VL-A3B-Thinking | image-text-to-text | public
OpenGVLab/InternVL3-8B | image-text-to-text | public
HelloKKMe/GTA1-7B | image-to-text | public
microsoft/Phi-4-reasoning-plus | text-generation | public
naver-hyperclovax/HyperCLOVAX-SEED-Vision-Instruct-3B | text-generation | public
ibm-granite/granite-4.0-tiny-preview | text-generation | public
ByteDance-Seed/BAGEL-7B-MoT | any-to-any | public
lightonai/Reason-ModernColBERT | sentence-similarity | public
QuantStack/SkyReels-V2-T2V-14B-720P-VACE-GGUF | image-to-video | public
CEIA-UFG/Gemma-3-Gaia-PT-BR-4b-it | image-text-to-text | public
nvidia/Qwen-3-Nemotron-32B-Reward | text-classification | public
facebook/vjepa2-vitl-fpc64-256 | video-classification | public
BAAI/RoboBrain2.0-7B | robotics | public
QuantStack/Wan2.1_T2V_14B_FusionX_VACE | image-to-video | public
stepfun-ai/Step-Audio-AQAA | - | public
google/t5gemma-2b-2b-ul2-it | text-generation | public
Menlo/Jan-nano-128k | text-generation | public
THUDM/GLM-4.1V-9B-Base | image-text-to-text | public
apple/DiffuCoder-7B-Base | - | public
internlm/POLAR-1_8B | text-ranking | public
AI-MO/Kimina-Prover-Distill-8B | text-generation | public
AI-MO/Kimina-Prover-Distill-1.7B | text-generation | public
ilkerzgi/embroidery-patch-kontext-dev-lora | image-to-image | public
LyraNovaHeart/Starfallen-Snow-Fantasy-24B-MS3.2-v0.0 | text-generation | public
allura-org/MS3.2-24b-Angel | image-to-text | public
baidu/ERNIE-4.5-300B-A47B-2Bits-TP2-Paddle | text-generation | public
ubergarm/DeepSeek-TNG-R1T2-Chimera-GGUF | text-generation | public
Alibaba-DAMO-Academy/Lumos-1 | - | public
ArmGPT/ArmenianGPT-0.1-12B | text-generation | public
JD3GEN/JD3_Nudify_Kontext_LoRa | - | public
google-t5/t5-base | translation | public
google/vit-base-patch16-224-in21k | image-feature-extraction | public
j-hartmann/emotion-english-distilroberta-base | text-classification | public
nlptown/bert-base-multilingual-uncased-sentiment | text-classification | public
sentence-transformers/LaBSE | sentence-similarity | public
sentence-transformers/all-mpnet-base-v2 | sentence-similarity | public
shibing624/text2vec-base-chinese | sentence-similarity | public
uwg/upscaler | - | public
Salesforce/blip2-opt-2.7b | image-text-to-text | public
tiiuae/falcon-7b-instruct | text-generation | public
suno/bark | text-to-speech | public
rhasspy/piper-voices | - | public
thibaud/controlnet-openpose-sdxl-1.0 | text-to-image | public
BAAI/bge-base-en-v1.5 | feature-extraction | public
TheBloke/Mistral-7B-Instruct-v0.1-GGUF | text-generation | public
google/siglip-base-patch16-224 | zero-shot-image-classification | public
Falconsai/text_summarization | summarization | public
vectara/hallucination_evaluation_model | text-classification | public
TheBloke/deepseek-coder-6.7B-instruct-GGUF | - | public
SG161222/Realistic_Vision_V6.0_B1_noVAE | text-to-image | public
facebook/seamless-m4t-v2-large | automatic-speech-recognition | public
google/gemma-2b-it | text-generation | public
Virt-io/SillyTavern-Presets | - | public
defog/llama-3-sqlcoder-8b | text-generation | public
WangGuangyuLab/Loki | - | public
HuggingFaceTB/SmolLM-135M | text-generation | public
bartowski/Meta-Llama-3.1-8B-Instruct-GGUF | text-generation | public
openbmb/MiniCPM-V-2_6 | image-text-to-text | public
microsoft/Phi-3.5-vision-instruct | image-text-to-text | public
Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro | text-to-image | public
Qwen/Qwen2-VL-7B-Instruct | image-text-to-text | public
nyrahealth/CrisperWhisper | automatic-speech-recognition | public
jinaai/jina-embeddings-v3 | feature-extraction | public
meta-llama/Llama-3.2-3B | text-generation | public
firdhokk/speech-emotion-recognition-with-openai-whisper-large-v3 | audio-classification | public
unsloth/Llama-3.2-3B-Instruct | text-generation | public
HuggingFaceTB/SmolLM2-135M-Instruct | text-generation | public
Qwen/Qwen2.5-Coder-32B-Instruct | text-generation | public
Snowflake/snowflake-arctic-embed-l-v2.0 | sentence-similarity | public
HuggingFaceTB/SmolVLM-Instruct | image-text-to-text | public
black-forest-labs/FLUX.1-Redux-dev | - | public
Kijai/HunyuanVideo_comfy | - | public
marcelbinz/Llama-3.1-Minitaur-8B | - | public
allenai/olmOCR-7B-0225-preview | image-to-text | public
physical-intelligence/fast | robotics | public
lerobot/pi0 | robotics | public
Zyphra/Zonos-v0.1-transformer | text-to-speech | public
HuggingFaceTB/SmolVLM2-2.2B-Instruct | image-text-to-text | public
taide/Llama-3.1-TAIDE-LX-8B-Chat | - | public
EuroBERT/EuroBERT-2.1B | fill-mask | public
mit-han-lab/nunchaku | - | public
Wan-AI/Wan2.1-I2V-14B-720P | image-to-video | public
city96/Wan2.1-I2V-14B-480P-gguf | image-to-video | public
mixedbread-ai/mxbai-rerank-large-v2 | text-ranking | public
RekaAI/reka-flash-3 | - | public
google/gemma-3-27b-it-qat-q4_0-gguf | image-text-to-text | public
omlab/VLM-R1-Qwen2.5VL-3B-OVD-0321 | zero-shot-object-detection | public
asif00/orpheus-bangla-tts | text-to-speech | public
yandex/YandexGPT-5-Lite-8B-instruct | - | public
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8 | image-text-to-text | public
OuteAI/Llama-OuteTTS-1.0-1B-GGUF | text-to-speech | public
unsloth/Llama-4-Scout-17B-16E-Instruct-GGUF | image-text-to-text | public
OpenGVLab/InternVL3-38B | image-text-to-text | public
nvidia/OpenCodeReasoning-Nemotron-32B | text-generation | public
Comfy-Org/HiDream-I1_ComfyUI | - | public
moonshotai/Kimi-Audio-7B | text-to-speech | public
ACE-Step/ACE-Step-v1-3.5B | text-to-audio | public
unsloth/Qwen3-0.6B-GGUF | text-generation | public
VLM2Vec/VLM2Vec-V2.0 | image-to-text | public
tiiuae/Falcon-H1-0.5B-Instruct | text-generation | public
numind/NuExtract-2.0-8B | image-text-to-text | public
PocketDoc/Dans-PersonalityEngine-V1.3.0-24b | text-generation | public
fancyfeast/llama-joycaption-beta-one-hf-llava | image-text-to-text | public
tiiuae/Falcon-H1-1.5B-Instruct-GGUF | - | public
tiiuae/Falcon-H1-3B-Instruct-GGUF | - | public
tiiuae/Falcon-H1-7B-Instruct-GGUF | - | public
Lightricks/LTX-Video-0.9.7-distilled | text-to-video | public
concedo/llama-joycaption-beta-one-hf-llava-mmproj-gguf | - | public
google/medgemma-4b-pt | image-text-to-text | public
unsloth/medgemma-4b-it-GGUF | image-text-to-text | public
showlab/OmniConsistency | image-to-image | public
LGAI-EXAONE/EXAONE-Path-1.5 | - | public
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF | text-generation | public
Qwen/Qwen3-Reranker-8B | text-ranking | public
lerobot/smolvla_base | robotics | public
lusxvr/nanoVLM-450M | image-text-to-text | public
ibm-granite/granite-timeseries-tspulse-r1 | - | public
ibm-granite/granite-vision-3.3-2b | - | public
nvidia/DeepSeek-R1-0528-FP4 | text-generation | public
HelloKKMe/GTA1-32B | image-to-text | public
echo840/MonkeyOCR | image-text-to-text | public
nvidia/Nemotron-H-8B-Reasoning-128K | text-generation | public
HelloKKMe/GTA1-72B | image-to-text | public
